title,director,year,runtime,genres,strands,description,synopsis,languages,session_date,session_venue,session_time,film_url
My Undesirable Friends: Part I — Last Air in Moscow,Julia Loktev,2024,324 mins,Documentary,Documentaries,A gripping documentary portrait of Russian journalists living and working under the crosshairs of a hostile regime.,"It’s late 2021, and the journalists of online news channel TV Rain are among the very few still providing an independent account of the state of their country, providing factual reports on the increasingly oppressive policies and standover tactics of Vladimir Putin’s regime. Deemed ‘foreign agents’ by law, they are forced to navigate draconian broadcast guidelines and the constant threat of imprisonment. When Russia invades Ukraine, further amping up domestic speech restrictions and hostility towards dissidents, these correspondents must decide whether to keep providing a voice or flee from a homeland in which they’re no longer safe.",Russian,16 Aug,ACMI 2,10:15am,https://miff.com.au/program/film/my-undesirable-friends-part-i-last-air-in-moscow
My Undesirable Friends: Part I — Last Air in Moscow,Julia Loktev,2024,324 mins,Documentary,Documentaries,A gripping documentary portrait of Russian journalists living and working under the crosshairs of a hostile regime.,"It’s late 2021, and the journalists of online news channel TV Rain are among the very few still providing an independent account of the state of their country, providing factual reports on the increasingly oppressive policies and standover tactics of Vladimir Putin’s regime. Deemed ‘foreign agents’ by law, they are forced to navigate draconian broadcast guidelines and the constant threat of imprisonment. When Russia invades Ukraine, further amping up domestic speech restrictions and hostility towards dissidents, these correspondents must decide whether to keep providing a voice or flee from a homeland in which they’re no longer safe.",Russian,19 Aug,Cinema Nova 1,11:00am,https://miff.com.au/program/film/my-undesirable-friends-part-i-last-air-in-moscow
Ali,Adnan Al Rajeev,2025,15 mins,"Drama, Music",,"In a coastal town where women are forbidden to sing, a teenage boy with an unusual gift joins a singing competition. Will he reveal his true voice?","Awarded a Short Film Special Distinction at this year’s Cannes, Adnan Al Rajeev’s eerie, atmospheric work unravels in a rural village transported into the realm of fable, in which lotus flowers drift on spectral lakes and a shroud of mist hangs above the landscape. This tender parable of gender expression in a repressive society is conveyed through a remarkable, singular vision.",Bengali,8 Aug,ACMI 2,6:30pm,https://miff.com.au/program/film/ali
Ali,Adnan Al Rajeev,2025,15 mins,"Drama, Music",,"In a coastal town where women are forbidden to sing, a teenage boy with an unusual gift joins a singing competition. Will he reveal his true voice?","Awarded a Short Film Special Distinction at this year’s Cannes, Adnan Al Rajeev’s eerie, atmospheric work unravels in a rural village transported into the realm of fable, in which lotus flowers drift on spectral lakes and a shroud of mist hangs above the landscape. This tender parable of gender expression in a repressive society is conveyed through a remarkable, singular vision.",Bengali,18 Aug,Kino 1,9:15pm,https://miff.com.au/program/film/ali
I Only Rest in the Storm,Pedro Pinho,2025,211 mins,Drama,Africa & Middle East,"Garnering an acting award at Cannes for Cleo Diára, this sprawling, low-key odyssey puts First World assumptions about international aid in the crosshairs.","Sérgio, an engineer working for an NGO, travels from Portugal to Guinea-Bissau to conduct an environmental assessment for a planned new roadway project through the desert. But as his workdays blow out into wild nights in the tropical city of Bissau, he spends more and more time with an array of locals, including charismatic bar owner Diára (Cleo Diára) and non-binary Brazilian expat Gui. Through conversations touching on privilege, power dynamics, politics, postcolonialism, queerness and the troubling realities of Western funding, Sérgio’s self-satisfied progressive values are gently pricked.","Portuguese, Creole",21 Aug,ACMI 2,1:30pm,https://miff.com.au/program/film/i-only-rest-in-the-storm
I Only Rest in the Storm,Pedro Pinho,2025,211 mins,Drama,Africa & Middle East,"Garnering an acting award at Cannes for Cleo Diára, this sprawling, low-key odyssey puts First World assumptions about international aid in the crosshairs.","Sérgio, an engineer working for an NGO, travels from Portugal to Guinea-Bissau to conduct an environmental assessment for a planned new roadway project through the desert. But as his workdays blow out into wild nights in the tropical city of Bissau, he spends more and more time with an array of locals, including charismatic bar owner Diára (Cleo Diára) and non-binary Brazilian expat Gui. Through conversations touching on privilege, power dynamics, politics, postcolonialism, queerness and the troubling realities of Western funding, Sérgio’s self-satisfied progressive values are gently pricked.","Portuguese, Creole",24 Aug,Hoyts 7,4:00pm,https://miff.com.au/program/film/i-only-rest-in-the-storm
"J’ai faim, j’ai froid",Chantal Akerman,1984,12 mins,Drama,Chantal Akerman: Traces,"In this newly 4K-restored gem, two adventurous teenage girls ditch Brussels for the bright lights of Paris with moving results.","For the six-vignette anthology filmParis vu par… 20 ans après(Paris Seen By… 20 Years After), Chantal Akerman – alongside directors such as Philippe Garrel – was tasked with making a short film about a Parisian neighbourhood. InJ’ai faim, j’ai froid, one of the most charming of all her works, she channels her own history as a Belgian in France, transposing her youthful memories and discomfort as an outsider onto two spirited girls (the wonderful Maria de Medeiros and Pascale Salkin) who pool their money to stay afloat over a weekend of new experiences in a perpetual search for satiety.",French,23 Aug,ACMI 1,12:45pm,https://miff.com.au/program/film/jai-faim-jai-froid
The Baltimorons,Jay Duplass,2025,100 mins,"Drama, Comedy, Romance",North America,"In this SXSW Audience Award winner, a dental mishap plays cupid for a washed-up comedian and a disillusioned dentist on a life-changing Christmas Eve.","En route to a Yuletide dinner, thirtysomething Cliff – who’s recently quit both alcohol and the comedy scene, to his fiancée’s relief – trips over and chips a tooth. After several failed enquiries, he manages to set an appointment with dentist Didi, a middle-aged divorcee who’s begrudgingly spending her holidays stuck at work. One repaired tooth and a towed car later, the pair are bonding over war stories and backing each other up on petty mischiefs and payback, each little victory building up to a night that will change their lives forever.",English,14 Aug,The Capitol,9:15pm,https://miff.com.au/program/film/the-baltimorons
The Baltimorons,Jay Duplass,2025,100 mins,"Drama, Comedy, Romance",North America,"In this SXSW Audience Award winner, a dental mishap plays cupid for a washed-up comedian and a disillusioned dentist on a life-changing Christmas Eve.","En route to a Yuletide dinner, thirtysomething Cliff – who’s recently quit both alcohol and the comedy scene, to his fiancée’s relief – trips over and chips a tooth. After several failed enquiries, he manages to set an appointment with dentist Didi, a middle-aged divorcee who’s begrudgingly spending her holidays stuck at work. One repaired tooth and a towed car later, the pair are bonding over war stories and backing each other up on petty mischiefs and payback, each little victory building up to a night that will change their lives forever.",English,17 Aug,Forum,3:45pm,https://miff.com.au/program/film/the-baltimorons
Theory to Practice: Script to Screen,,,,,Talks,"Follow the journey of Australian featureOne More Shotfrom its inception through to its premiere at MIFF. We’re tracing the film’s path from initial concept through to funding, production, and its release in both local and international markets.","Explore craft and business with seasoned practitioners working across production through to distribution. This is an opportunity to hear a project team offer insights into the challenges, risks and breakthroughs that shaped the project, shared with honesty and transparency.",,14 Aug,ACMI Gandel Lab,1:30pm,https://miff.com.au/program/film/theory-to-practice-script-to-screen
Splitsville,Michael Angelo Covino,2025,100 mins,Comedy,Headliners,"Take two best friends and two marriages, shake and serve on the rocks with a garnish of irreconcilable differences.","Meek gym teacher Carey (Kyle Marvin) and his wife, life coach Ashley (Adria Arjona,Irma Vep), are driving to the Hamptons to holiday with their wealthy friends. A gruesome car crash along the way, however, manifests a vibe shift for free-spirited Ashley, who immediately demands a divorce. Carey trudges sadly to the glamorous home of asshole property developer Paul (director Michael Angelo Covino) and wry ceramicist Julie (Dakota Johnson,Materialists), who reveal the chalk-and-cheese secret that has kept them together: an open marriage. Ashley, seeing a new way forward, adopts this idea with way too much gusto, leaving Carey to befriend all the new blokes she brings home. Meanwhile, Julie takes a shine to Carey, as Paul’s crooked financial dealings inspire her to contemplate divorce, too.",English,15 Aug,Hoyts 11,9:00pm,https://miff.com.au/program/film/splitsville
Splitsville,Michael Angelo Covino,2025,100 mins,Comedy,Headliners,"Take two best friends and two marriages, shake and serve on the rocks with a garnish of irreconcilable differences.","Meek gym teacher Carey (Kyle Marvin) and his wife, life coach Ashley (Adria Arjona,Irma Vep), are driving to the Hamptons to holiday with their wealthy friends. A gruesome car crash along the way, however, manifests a vibe shift for free-spirited Ashley, who immediately demands a divorce. Carey trudges sadly to the glamorous home of asshole property developer Paul (director Michael Angelo Covino) and wry ceramicist Julie (Dakota Johnson,Materialists), who reveal the chalk-and-cheese secret that has kept them together: an open marriage. Ashley, seeing a new way forward, adopts this idea with way too much gusto, leaving Carey to befriend all the new blokes she brings home. Meanwhile, Julie takes a shine to Carey, as Paul’s crooked financial dealings inspire her to contemplate divorce, too.",English,17 Aug,The Astor Theatre,1:00pm,https://miff.com.au/program/film/splitsville
Splitsville,Michael Angelo Covino,2025,100 mins,Comedy,Headliners,"Take two best friends and two marriages, shake and serve on the rocks with a garnish of irreconcilable differences.","Meek gym teacher Carey (Kyle Marvin) and his wife, life coach Ashley (Adria Arjona,Irma Vep), are driving to the Hamptons to holiday with their wealthy friends. A gruesome car crash along the way, however, manifests a vibe shift for free-spirited Ashley, who immediately demands a divorce. Carey trudges sadly to the glamorous home of asshole property developer Paul (director Michael Angelo Covino) and wry ceramicist Julie (Dakota Johnson,Materialists), who reveal the chalk-and-cheese secret that has kept them together: an open marriage. Ashley, seeing a new way forward, adopts this idea with way too much gusto, leaving Carey to befriend all the new blokes she brings home. Meanwhile, Julie takes a shine to Carey, as Paul’s crooked financial dealings inspire her to contemplate divorce, too.",English,24 Aug,ACMI 1,6:15pm,https://miff.com.au/program/film/splitsville
Put Your Soul on Your Hand and Walk,Sepideh Farsi,2025,110 mins,Documentary,Documentaries,"An inspiring portrait of Palestinian photojournalist Fatma Hassona, whose defiant images of life in Gaza bring both hope and tragic consequences.","Fatma Hassona, a 25-year-old photojournalist and poet from the Gaza Strip, dedicated her life to documenting the conditions in which Palestinians are forced to exist. In this documentary, beautifully and movingly pieced together from video calls between her and Iranian filmmaker Sepideh Farsi recorded throughout 2024 as Israel’s war on Gaza raged, Hassona builds a visual diary conveying the everyday plight of her people and the suffering being inflicted upon displaced and orphaned children. Even amid the death and destruction of constant missile strikes, her message remains one of dignity, humanity and hope.","English, French, Arabic",19 Aug,Kino 2,8:15pm,https://miff.com.au/program/film/put-your-soul-on-your-hand-and-walk
Put Your Soul on Your Hand and Walk,Sepideh Farsi,2025,110 mins,Documentary,Documentaries,"An inspiring portrait of Palestinian photojournalist Fatma Hassona, whose defiant images of life in Gaza bring both hope and tragic consequences.","Fatma Hassona, a 25-year-old photojournalist and poet from the Gaza Strip, dedicated her life to documenting the conditions in which Palestinians are forced to exist. In this documentary, beautifully and movingly pieced together from video calls between her and Iranian filmmaker Sepideh Farsi recorded throughout 2024 as Israel’s war on Gaza raged, Hassona builds a visual diary conveying the everyday plight of her people and the suffering being inflicted upon displaced and orphaned children. Even amid the death and destruction of constant missile strikes, her message remains one of dignity, humanity and hope.","English, French, Arabic",24 Aug,Hoyts 8/10,4:15pm,https://miff.com.au/program/film/put-your-soul-on-your-hand-and-walk
Accelerator Shorts 2,,,,"Drama, Adventure, Horror, Sci-Fi",MIFF Shorts,Fresh talent. Bold stories. Meet the next generation of local filmmakers.,"The region’s hottest emerging talents bring us tales of a grieving man who sets out to gain an extra inch of height, a trans woman who unknowingly summons a demon to obtain gender-affirming surgery, a kid who conjures an imaginary motorcycle daredevil to deal with his parents’ divorce – and much more.",,14 Aug,ACMI 1,4:15pm,https://miff.com.au/program/film/accelerator-shorts-2
Accelerator Shorts 2,,,,"Drama, Adventure, Horror, Sci-Fi",MIFF Shorts,Fresh talent. Bold stories. Meet the next generation of local filmmakers.,"The region’s hottest emerging talents bring us tales of a grieving man who sets out to gain an extra inch of height, a trans woman who unknowingly summons a demon to obtain gender-affirming surgery, a kid who conjures an imaginary motorcycle daredevil to deal with his parents’ divorce – and much more.",,24 Aug,ACMI 1,10:45am,https://miff.com.au/program/film/accelerator-shorts-2
Hallow Road,Babak Anvari,2025,80 mins,"Thriller, Horror",Night Shift,"Rosamund Pike and Matthew Rhys face every parent’s worst nightmare in this taut, folk horror–infused two-hander.","Maddie (Rosamund Pike) and Frank (Matthew Rhys) wake up to a chilling call from their daughter, Alice (Megan McDonnell,Normal People), in the dead of night. After storming out of their house earlier that evening following a family argument, she’s hit a pedestrian on a remote forest road an hour’s drive away. Racing to Alice’s location, the couple clash as they frantically advise their distraught daughter over the phone. Maddie, a paramedic, talks Alice through CPR, while Frank insists they avoid calling the police, fearing the consequences. Just when they think the situation can’t get any worse, another voice appears on the line – Alice is not alone.",English,14 Aug,ACMI 2,6:30pm,https://miff.com.au/program/film/hallow-road
Hallow Road,Babak Anvari,2025,80 mins,"Thriller, Horror",Night Shift,"Rosamund Pike and Matthew Rhys face every parent’s worst nightmare in this taut, folk horror–infused two-hander.","Maddie (Rosamund Pike) and Frank (Matthew Rhys) wake up to a chilling call from their daughter, Alice (Megan McDonnell,Normal People), in the dead of night. After storming out of their house earlier that evening following a family argument, she’s hit a pedestrian on a remote forest road an hour’s drive away. Racing to Alice’s location, the couple clash as they frantically advise their distraught daughter over the phone. Maddie, a paramedic, talks Alice through CPR, while Frank insists they avoid calling the police, fearing the consequences. Just when they think the situation can’t get any worse, another voice appears on the line – Alice is not alone.",English,16 Aug,Hoyts 8/10,9:30pm,https://miff.com.au/program/film/hallow-road
A Story About Fire,Li Wenyu,2025,85 mins,Animation,MIFF Schools,"In this evocative animation based on an ancient Chinese myth, a cowardly monkey musters the courage to discover the secret of all warmth.","Insecure monkey Ran Bi Wa was raised by a tribe of humans; ever since, he has wondered about his place in the world. To understand his origins, he sets out for the Holy Mountain, said to be the place where the source of all the planet’s warmth can be found. The trek is long and perilous, traversing snowy landscapes, but Ran Bi Wa has a trusty companion by his side: a wolf named Doggy, who, much like his simian master, doesn’t fit in with his pack. When they finally reach their destination, things don’t go quite as expected – and Ran Bi Wa is left forever transformed.",Mandarin,13 Aug,ACMI 1,1:00pm,https://miff.com.au/program/film/a-story-about-fire
A Story About Fire,Li Wenyu,2025,85 mins,Animation,MIFF Schools,"In this evocative animation based on an ancient Chinese myth, a cowardly monkey musters the courage to discover the secret of all warmth.","Insecure monkey Ran Bi Wa was raised by a tribe of humans; ever since, he has wondered about his place in the world. To understand his origins, he sets out for the Holy Mountain, said to be the place where the source of all the planet’s warmth can be found. The trek is long and perilous, traversing snowy landscapes, but Ran Bi Wa has a trusty companion by his side: a wolf named Doggy, who, much like his simian master, doesn’t fit in with his pack. When they finally reach their destination, things don’t go quite as expected – and Ran Bi Wa is left forever transformed.",Mandarin,21 Aug,ACMI 1,10:00am,https://miff.com.au/program/film/a-story-about-fire
Sweetie,Jane Campion,1989,97 mins,Drama,Restorations,"Revered filmmaker Jane Campion’s audacious theatrical debut feature, now restored in 4K, is a delightfully strange portrait of a dysfunctional family.","Anxiety-riddled Kay shacks up with her once-engaged colleague, Louis, who meets the description of the stranger foretold in the tea leaves. Their relationship is marred by a sense of unease and intimacy issues, however; and if that wasn’t bad enough, her sister Dawn soon comes tumbling back into her life unannounced. With her brash and unpredictable behaviour, Dawn – or ‘Sweetie’, to their father – is the crux of the family’s dysfunction, pushing Kay and her parents to their limits in her quest for attention and connection.",English,23 Aug,The Capitol,6:30pm,https://miff.com.au/program/film/sweetie
Come See Me in the Good Light,Ryan White,2025,109 mins,Documentary,The Body Is a Battlefield,"From darkness into light, this poetic documentary brings us to the brink of what it means to love.","Celebrated non-binary American poet Andrea Gibson and Megan Falley are partners and fellow artists. When Gibson is diagnosed with stage-four ovarian cancer and only given two years to live, they embark on a journey through trips to the oncology clinic, chemotherapy and the all-too-immediate realities of life and death. Every step of the way, the couple speak openly about their experiences, determined to find happiness and inspiration where others might see defeat.",English,22 Aug,Hoyts 11,6:15pm,https://miff.com.au/program/film/come-see-me-in-the-good-light
Come See Me in the Good Light,Ryan White,2025,109 mins,Documentary,The Body Is a Battlefield,"From darkness into light, this poetic documentary brings us to the brink of what it means to love.","Celebrated non-binary American poet Andrea Gibson and Megan Falley are partners and fellow artists. When Gibson is diagnosed with stage-four ovarian cancer and only given two years to live, they embark on a journey through trips to the oncology clinic, chemotherapy and the all-too-immediate realities of life and death. Every step of the way, the couple speak openly about their experiences, determined to find happiness and inspiration where others might see defeat.",English,24 Aug,Forum,1:00pm,https://miff.com.au/program/film/come-see-me-in-the-good-light
A Brighter Summer Day for the Lady Avengers,Birdy Wei-Ting Hung,2024,12 mins,"Drama, Horror, Romance",,"In 1980s Taiwan, a young woman’s trip to the cinema – to see Dario Argento’sDeep Red– awakens sexual desires and celluloid dreams.","With its explicit references to both Edward Yang’sA Brighter Summer Day(MIFF 1992, 2008) and Yang Chia-yun’s lurid 1981 revenge thrillerThe Lady Avenger– not to mention the watermelons that nod to Tsai Ming-liang’sThe Wayward Cloud(MIFF 2005) – Birdy Wei-ting Hung’s fantasy-tinged ode to sexual awakening is in playful conversation with Taiwanese cinematic history, reframing familiar screen images through a decidedly female gaze.",Mandarin,9 Aug,ACMI 2,6:30pm,https://miff.com.au/program/film/a-brighter-summer-day-for-the-lady-avengers
A Brighter Summer Day for the Lady Avengers,Birdy Wei-Ting Hung,2024,12 mins,"Drama, Horror, Romance",,"In 1980s Taiwan, a young woman’s trip to the cinema – to see Dario Argento’sDeep Red– awakens sexual desires and celluloid dreams.","With its explicit references to both Edward Yang’sA Brighter Summer Day(MIFF 1992, 2008) and Yang Chia-yun’s lurid 1981 revenge thrillerThe Lady Avenger– not to mention the watermelons that nod to Tsai Ming-liang’sThe Wayward Cloud(MIFF 2005) – Birdy Wei-ting Hung’s fantasy-tinged ode to sexual awakening is in playful conversation with Taiwanese cinematic history, reframing familiar screen images through a decidedly female gaze.",Mandarin,21 Aug,Kino 1,9:15pm,https://miff.com.au/program/film/a-brighter-summer-day-for-the-lady-avengers
